round,date,home,away
40,2027-04-10,Leyton Orient,MK Dons
40,2027-04-10,Plymouth Argyle,Oxford United
40,2027-04-10,Reading,Burton Albion
40,2027-04-10,Sheffield Wednesday,Leicester City
40,2027-04-10,Stockport County,Stevenage
40,2027-04-10,Wigan Athletic,Doncaster Rovers
40,2027-04-10,Wycombe Wanderers,Mansfield Town
41,2027-04-13,AFC Wimbledon,Cambridge United
41,2027-04-13,Barnsley,Bradford City
41,2027-04-13,Blackpool,Notts County
41,2027-04-13,Bromley,MK Dons
41,2027-04-13,Burton Albion,Plymouth Argyle
41,2027-04-13,Leyton Orient,Mansfield Town
41,2027-04-13,Luton Town,Huddersfield Town
41,2027-04-13,Oxford United,Doncaster Rovers
41,2027-04-13,Peterborough United,Stockport County
41,2027-04-13,Sheffield Wednesday,Stevenage
41,2027-04-13,Wigan Athletic,Leicester City
41,2027-04-13,Reading,Wycombe Wanderers
42,2027-04-17,MK Dons,AFC Wimbledon
42,2027-04-17,Bradford City,Luton Town
42,2027-04-17,Cambridge United,Oxford United
42,2027-04-17,Doncaster Rovers,Peterborough United
42,2027-04-17,Huddersfield Town,Bromley
42,2027-04-17,Leicester City,Barnsley
42,2027-04-17,Mansfield Town,Burton Albion
42,2027-04-17,Notts County,Reading
42,2027-04-17,Plymouth Argyle,Blackpool
42,2027-04-17,Stevenage,Leyton Orient
42,2027-04-17,Stockport County,Sheffield Wednesday
42,2027-04-17,Wycombe Wanderers,Wigan Athletic
43,2027-04-24,AFC Wimbledon,Plymouth Argyle
43,2027-04-24,Barnsley,Stockport County
43,2027-04-24,Blackpool,Cambridge United
43,2027-04-24,Bromley,Mansfield Town
43,2027-04-24,Burton Albion,Doncaster Rovers
43,2027-04-24,Leyton Orient,Bradford City
43,2027-04-24,Luton Town,Wycombe Wanderers
43,2027-04-24,Oxford United,Notts County
43,2027-04-24,Peterborough United,Leicester City
43,2027-04-24,Reading,Huddersfield Town
43,2027-04-24,Sheffield Wednesday,MK Dons
43,2027-04-24,Wigan Athletic,Stevenage
44,2027-04-27,Bradford City,Reading
44,2027-04-27,Cambridge United,Sheffield Wednesday
44,2027-04-27,Doncaster Rovers,Luton Town
44,2027-04-27,Huddersfield Town,Burton Albion
44,2027-04-27,Leicester City,Blackpool
44,2027-04-27,Mansfield Town,Wigan Athletic
44,2027-04-27,MK Dons,Barnsley
44,2027-04-27,Notts County,Peterborough United
44,2027-04-27,Plymouth Argyle,Leyton Orient
44,2027-04-27,Stevenage,AFC Wimbledon
44,2027-04-27,Stockport County,Oxford United
44,2027-04-27,Wycombe Wanderers,Bromley
45,2027-05-01,Barnsley,AFC Wimbledon
45,2027-05-01,Blackpool,Stevenage
45,2027-05-01,Bradford City,Wycombe Wanderers
45,2027-05-01,Burton Albion,Bromley
45,2027-05-01,Cambridge United,Luton Town
45,2027-05-01,Huddersfield Town,Doncaster Rovers
45,2027-05-01,Leyton Orient,Stockport County
45,2027-05-01,Mansfield Town,Leicester City
45,2027-05-01,Notts County,MK Dons
45,2027-05-01,Oxford United,Peterborough United
45,2027-05-01,Plymouth Argyle,Wigan Athletic
45,2027-05-01,Reading,Sheffield Wednesday
46,2027-05-08,AFC Wimbledon,Notts County
46,2027-05-08,Bromley,Plymouth Argyle
46,2027-05-08,Doncaster Rovers,Reading
46,2027-05-08,Leicester City,Cambridge United
46,2027-05-08,Luton Town,Blackpool
46,2027-05-08,MK Dons,Bradford City
46,2027-05-08,Peterborough United,Leyton Orient
46,2027-05-08,Sheffield Wednesday,Oxford United
46,2027-05-08,Stevenage,Huddersfield Town
46,2027-05-08,Stockport County,Mansfield Town
46,2027-05-08,Wigan Athletic,Burton Albion
46,2027-05-08,Wycombe Wanderers,Barnsley
